pergunta;opcao1;opcao2;opcao3;opcao4;correta;disciplina;dificuldade
Quanto é 3 + 1?;2;3;4;5;3;matematica;0
Quanto é 7 - 2?;3;4;5;6;3;matematica;0
Quanto é 1/2 + 1/2?;1;2;0,5;1,5;1;matematica;0
Qual número vem depois do 7?;6;8;9;5;2;matematica;0
Qual número vem depois do 9?;8;10;11;7;2;matematica;0
Qual forma tem 3 lados?;Quadrado;Círculo;Triângulo;Retângulo;3;matematica;0
Quanto é 36 ÷ 6?;4;5;6;7;3;matematica;1
Quanto é 5 x 3?;15;10;20;8;1;matematica;1
Quanto é 6 × 4?;18;20;24;30;3;matematica;1
Qual é 25% de 100?;50;25;75;100;2;matematica;1
Quanto é 40 dividido por 5?;6;7;8;9;3;matematica;1
Se um metro custa R$10, quanto custam 3m?;R$13;R$30;R$10;R$33;2;matematica;1
Resolva: (10 - 5) × 2;5;10;15;20;2;matematica;2
Qual é o valor de 5² - 3²?;16;14;12;10;1;matematica;2
Se x = 2, quanto vale 3x + 4?;10;8;6;7;1;matematica;2
Se x = 3, quanto vale 2x + 5?;10;11;12;13;2;matematica;2
Qual é o valor de (3^2 + 4^2) ÷ 5?;5;6;7;25;1;matematica;2

"Vou e volto" tem quantos verbos?;0;1;2;3;3;portugues;0
Qual palavra rima com "casa"?;mala;vaso;passa;faca;2;portugues;0
Qual dessas palavras é um verbo?;mesa;correr;azul;bola;2;portugues;0
Qual palavra está escrita corretamente?;caza;cassa;casa;kasa;3;portugues;0
Qual é o plural de "caneta"?;canetas;canetos;canetões;canetis;1;portugues;0
Qual é o plural de "chapéu"?;chapéus;chapéis;chapéiz;chapéies;1;portugues;0
Qual palavra é oxítona?;caneta;árvore;parabéns;livro;3;portugues;1
Identifique o verbo: 'O gato pulou o muro';gato;pulou;muro;o;2;portugues;1
O que é um substantivo?;Ação;Lugar/Pessoa/Coisa;Qualidade;Estado;2;portugues;1
Qual é o sujeito da frase: 'Maria comeu o bolo'?;bolo;Maria;comeu;o;2;portugues;1
O que é uma sílaba tônica?;A mais fraca;A mais forte;A última;A primeira;2;portugues;1
O que é um adjetivo?;Palavra que nomeia;Palavra que descreve;Verbo;Pronome;2;portugues;1
Qual é o sinônimo de "rápido"?;devagar;veloz;calmo;pesado;2;portugues;2
Qual é o antônimo de 'feliz'?;alegre;triste;sorridente;divertido;2;portugues;2
"Ela é forte como um leão" é:;Comparação;Metáfora;Ironia;Hipérbole;1;portugues;2
Qual a figura de linguagem em: 'O tempo voa'?;Metáfora;Hipérbole;Ironia;Eufemismo;1;portugues;2
"Estou morrendo de sede" é exemplo de:;Metáfora;Hipérbole;Comparação;Personificação;2;portugues;2

Qual estrela aquece a Terra?;Lua;Vênus;Sol;Marte;3;ciencias;0
Qual animal é um réptil?;gato;cobra;pássaro;baleia;2;ciencias;0
Qual desses é um mamífero?;cobra;peixe;cachorro;galinha;3;ciencias;0
O que a minhoca faz no solo?;Destrói;Fertiliza;Ilumina;Resfria;2;ciencias;0
Para que servem as brânquias?;Voar;Respirar na água;Correr;Digerir;2;ciencias;0
Qual é a função do coração?;Respirar;Bater;Bombear sangue;Digere alimentos;3;ciencias;0
Onde nascem os peixes?;Árvores;Ovos;Flores;Nuvens;2;ciencias;1
Qual parte da planta absorve água do solo?;Folha;Raiz;Caule;Fruto;2;ciencias;1
Qual planeta é conhecido como "Vermelho"?;Vênus;Marte;Júpiter;Saturno;2;ciencias;1
O que os vegetais precisam para fazer fotossíntese?;Luz solar;Som;Vento;Açúcar;1;ciencias;1
O que a clorofila faz nas plantas?;Dá cor azul;Transforma luz em alimento;Atrai insetos;Armazena água;2;ciencias;1
Onde ocorre a fotossíntese?;Raízes;Folhas;Flores;Frutos;2;ciencias;2
O que causa os terremotos?;Ventos;Chuvas;Placas tectônicas;Maremotos;3;ciencias;2
Qual gás as plantas absorvem?;Oxigênio;Nitrogênio;Gás carbônico;Hélio;3;ciencias;2
Qual metal é líquido na temperatura ambiente?;Ouro;Mercúrio;Ferro;Alumínio;2;ciencias;2
Qual órgão é responsável pela digestão dos alimentos?;Coração;Pulmão;Estômago;Fígado;3;ciencias;2
O que é o sistema respiratório responsável por fazer?;Bater o coração;Respirar;Mover os ossos;Circular o sangue;2;ciencias;2

O que cobre a maior parte da Terra?;Terra;Água;Areia;Gelo;2;geografia;0
Qual oceano banha o Brasil?;Pacífico;Índico;Atlântico;Ártico;3;geografia;0
Qual país tem formato de bota?;França;Itália;Portugal;Espanha;2;geografia;0
Qual é a capital do Brasil?;São Paulo;Rio de Janeiro;Brasília;Curitiba;3;geografia;0
Qual é o clima predominante no Nordeste?;Polar;Desértico;Semiárido;Equatorial;3;geografia;0
Capital da Argentina?;Lima;Montevidéu;Buenos Aires;Santiago;3;geografia;1
Capital de Minas Gerais?;Rio;Salvador;Belo Horizonte;Recife;3;geografia;1
Qual é o continente do Brasil?;Ásia;Europa;América do Sul;África;3;geografia;1
Qual estado brasileiro tem a maior floresta?;São Paulo;Amazonas;Rio;Minas;2;geografia;1
Qual é o maior rio do Brasil?;Rio São Francisco;Rio Amazonas;Rio Tietê;Rio Paraná;2;geografia;1
Qual deserto é o maior do mundo?;Saara;Atacama;Gobi;Antártico;1;geografia;2
Qual a principal vegetação da Amazônia?;Caatinga;Pampas;Floresta Tropical;Cerrado;3;geografia;2
O que é um bioma?;Tipo de rocha;Conjunto de ecossistemas;Espécie animal;Fenômeno climático;2;geografia;2
Qual montanha é a mais alta do mundo?;Pico da Neblina;Monte Everest;Kilimanjaro;Aconcágua;2;geografia;2
O que são placas tectônicas?;Tipos de rochas;Camadas da água;Partes da crosta terrestre;Animais marinhos;3;geografia;2

Quem descobriu o Brasil?;Cabral;Colombo;Vespucio;Magalhães;1;historia;0
O Brasil foi colonizado por qual país?;Espanha;França;Portugal;Inglaterra;3;historia;0
Qual era o nome do navio de Cabral?;Santa Maria;Nina;Pinta;Santa Clara;1;historia;0
Quem foi o primeiro presidente do Brasil?;Getúlio Vargas;Deodoro da Fonseca;Dom Pedro I;Lula;2;historia;0
Quem pintou o "Grito"?;Van Gogh;Monet;Munch;Picasso;3;historia;1
Quando foi abolida a escravidão?;1822;1850;1888;1900;3;historia;1
Quem foi Tiradentes?;Cantor;Revolucionário;Presidente;Imperador;2;historia;1
Quem foi Dom Pedro II?;Presidente;Imperador;Revolucionário;Escritor;2;historia;1
Em que ano foi proclamada a República no Brasil?;1888;1889;1890;1879;2;historia;1
Qual era o nome da primeira capital do Brasil?;Rio;Salvador;Recife;SP;2;historia;2
O que foi a Lei Áurea?;Aboliu escravidão;Independência;Proclamou República;Novo imposto;1;historia;2
Qual guerra o Brasil participou em 1942?;Primeira Guerra;Guerra do Paraguai;Segunda Guerra;Guerra Fria;3;historia;2
O que aconteceu em 1822 no Brasil?;Abolição da escravidão;Descobrimento;Independência do Brasil;Proclamação da República;3;historia;2
O que foi a Revolta da Chibata?;Revolta de estudantes;Revolta de marinheiros contra castigos;Revolta de escravos;Protesto contra impostos;2;historia;2

Qual instrumento tem cordas e caixa acústica?;Violino;Piano;Violão;Flauta;3;artes;1
Em que ano o homem pisou na Lua?;1965;1969;1972;1980;2;atualidades;2